,0_deg,60_deg,90_deg,180_deg,240_deg,labels
0,0.24502774390822504,0.1524359227275782,0.508192398208624,0.47075309347788313,0.016461703877476697,R
1,0.5445573281572342,0.11742331462194444,0.5280483386780389,0.059386861192120784,0.20055158533857642,R
2,0.8699709006821972,0.45889744256225207,0.6103314744458304,0.6679453814505587,0.5973720567795849,M
3,0.10121507905681039,0.5604248009123086,0.3298146768628225,0.01917974120534319,0.43879922597322607,R
4,0.047208914053530386,0.0294534054660216,0.47919261931166535,0.3873194522267245,0.1980337989385196,R
5,0.791820543230567,0.5705336650082309,0.5136316654449988,0.9488903345830093,0.6331363972004065,M
6,0.22852141316879188,0.26338197518226697,0.290188650492838,0.3142450236466665,0.4519771594397679,R
7,0.9005732746267326,0.5285260977588925,0.43416933566806515,0.6657900129721257,0.604548682500335,M
8,0.2100053594494751,0.513850746054215,0.4948952875893803,0.4549168428146135,0.26464461029229613,R
9,0.9988546718228646,0.8669492248166244,0.5930901266062885,0.7045404202685115,0.6463433104648644,M
10,0.613275538992066,0.47162842902792046,0.8840757679958753,0.5846311365189928,0.9472911937673556,M
11,0.5123491855812874,0.4821812005535026,0.8237040593814613,0.49717673052057565,0.8188580891719976,M
12,0.06056603266856193,0.5692875127529016,0.4721858634387053,0.21496489379204112,0.432844400722723,R
13,0.5290517443587206,0.5265260729044628,0.5150068641998944,0.6940629909954705,0.5048162586995084,M
14,0.46230486174139446,0.4717262132863227,0.8875903805062209,0.5918579499142458,0.9687401726607763,M
15,0.9399422557849073,0.6737789383730961,0.7624237522715591,0.6911078057331019,0.7778948703278183,M
16,0.5673757828675746,0.30939878097716444,0.25141484167427014,0.206424062712018,0.39240197299648205,R
17,0.788073861790062,0.7981925533355012,0.8787718418982915,0.6486722393939455,0.8647999463408522,M
18,0.7808186515876747,0.680143268014086,0.696417385820558,0.8399481907108122,0.842036630210856,M
19,0.2783483041797051,0.013369522252282079,0.3735403743967842,0.19227017994635578,0.037927758213913525,R
20,0.05261369254968422,0.23093505249196455,0.20290076437724178,0.4056360091978851,0.1777897341092835,R
21,0.4354974243538441,0.9888606685631078,0.8157653151359395,0.490615692498638,0.831749223028788,M
22,0.011397993169108294,0.10689984235706182,0.30703946705614,0.4441549851264846,0.28644190154172616,R
23,0.02073315547255043,0.4924212957205221,0.4116977325965731,0.11492832860657311,0.4548862665231476,R
24,0.24666905664516148,0.2507090365288302,0.04514044129678955,0.2564504051749748,0.21404527029262643,R
25,0.6301846172488585,0.8315302261942545,0.41784993489910266,0.5260122224959367,0.4901244273061119,M
26,0.8683805733521237,0.6717872676134597,0.835249632018259,0.5966617948280778,0.6275523665861565,M
27,0.3769938729385013,0.4907718764976653,0.2894393638738985,0.4992862760737603,0.33346674516472763,R
28,0.7194536639836626,0.8030884963022713,0.5940046295279747,0.8822367286806484,0.9804579850914803,M
29,0.5300535313764725,0.5948572126970172,0.8693098982917902,0.6076264717109108,0.9474964305282132,M
30,0.05669382802380485,0.4731884566264606,0.4728583744051461,0.07738104258258544,0.13350144083757176,R
31,0.5008096586672588,0.5922502224936891,0.8691455429812254,0.7124663744269448,0.7323232818772129,M
32,0.9646917335862333,0.9649756710455692,0.9651690255943255,0.7102858015137428,0.9032638896838653,M
33,0.2757752349289164,0.4427496997071332,0.2663566054896504,0.4813093935829871,0.3509172526899363,R
34,0.9985704458315301,0.6591488238141509,0.5980327988973627,0.7189461699594083,0.7693193731539948,M
35,0.01092202592712181,0.06453601739154921,0.2992990461565756,0.39636820343942525,0.2351645397695874,R
36,0.2818741050813294,0.1773950329271352,0.5254151879337559,0.4629846516707036,0.009245575563451722,R
37,0.800428681167791,0.7724798029306128,0.6772517625508201,0.9239788417876091,0.936308768963696,M
38,0.1974010348407651,0.12872364160020147,0.4986076367011778,0.1467270823098952,0.2180268629820765,R
39,0.47469732928647085,0.3618238597140929,0.26259300778923933,0.3371440046124731,0.4956590506729578,R
40,0.44316254235527913,0.7470771456138314,0.42321165429010177,0.8533038098965924,0.8612314284619424,M
41,0.9970699197862296,0.9458255971754197,0.8571967468397897,0.7918956662875456,0.8679939364003513,M
42,0.12481227974036241,0.17142687998575043,0.27933513362159185,0.3412598452764096,0.03428368932279141,R
43,0.5075754117960612,0.6938758718367688,0.8920284212400413,0.6684602252489551,0.5063758554796836,M
44,0.5001930370202979,0.005262164948523061,0.23869851911083156,0.21843047886449835,0.5086217835666305,R
45,0.6368677399028828,0.5753689554970295,0.9630832223937442,0.5076895690428653,0.6955742846125557,M
46,0.1437827731811803,0.18427209969331965,0.384240099356451,0.14625047595312682,0.09904443852582606,R
47,0.9097737919251532,0.6885822063248173,0.8273821574861343,0.4856249638241795,0.471095000708085,M
48,0.307704713022315,0.4095945759493163,0.08726587602738031,0.45924947580544123,0.4777665985844729,R
49,0.5299851608824384,0.3957858666108647,0.1719546593055743,0.11079626388209603,0.04611556514684128,R
50,0.8278350335356703,0.4462581341868507,0.7501943393424383,0.48772807169813653,0.7506461588332802,M
51,0.9889028550065297,0.8025506651896821,0.42900273127941896,0.6702478050729241,0.8308470589729273,M
52,0.18755709512864563,0.548496969945926,0.11798691844825127,0.11775963565069592,0.3955584426092375,R
53,0.37353434744207237,0.17859864485907834,0.26896161370031,0.2389021185179943,0.2848325737457864,R
54,0.45887160161691065,0.5070244036513996,0.8711494261992765,0.7696067821024675,0.8649631724518587,M
55,0.8531142199424391,0.5302012034843058,0.5195415386990364,0.8985713205912494,0.4741810508842056,M
56,0.41298896996736556,0.38384074286670294,0.3509890597563337,0.5235783656557301,0.09904707882985893,R

