,0_deg,60_deg,90_deg,180_deg,240_deg,labels
0,0.4781270200044793,0.14563044256153868,0.17875805641485817,0.4651867280116943,0.06995975262148026,R
1,0.4649861478018418,0.5329039592782852,0.32211114077042263,0.5646940500206298,0.14078312776962718,R
2,0.8494477148801097,0.46445391999442615,0.42564250054764163,0.6524420560458957,0.9497055221919217,M
3,0.45865834198589794,0.02927613817433194,0.4574598021508492,0.16943108765489265,0.14117974259013438,R
4,0.4781188693089737,0.15299437477312752,0.33836010628577157,0.2249083864155602,0.24802025806967323,R
5,0.0589349876504182,0.3046815894407539,0.5573620890402146,0.4131096719981743,0.22649537865238076,R
6,0.7978134961906025,0.45582886076571777,0.5006660817917897,0.9671253350345457,0.8152490173234253,M
7,0.4535347114632346,0.5312378405168595,0.9707295510839078,0.9169469963485253,0.8592765910024605,M
8,0.9960362923597617,0.5085293581539458,0.8764096760104657,0.915091951995848,0.9069183657263813,M
9,0.477151367982143,0.04979459068867191,0.08554555800106804,0.17554825320225365,0.42374413029717145,R
10,0.39266859124028425,0.2056844799931446,0.5118928161026303,0.22741700281493987,0.4219637521575529,R
11,0.5102700448298212,0.4698134247735483,0.619254464982678,0.9421733312321432,0.7090681121459599,M
12,0.3403973807435953,0.41149556612844074,0.17675164280352595,0.08960532547156048,0.3957868561800653,R
13,0.9720340334161286,0.854954005975149,0.524655152976648,0.5181993030514669,0.9857000128255617,M
14,0.2626756914317685,0.30082901858905775,0.37894592125492155,0.4140652576261564,0.49139095703738556,R
15,0.06508460936492962,0.36428482078870267,0.5320045576207306,0.10068807531215554,0.5343267637744259,R
16,0.9660244394421995,0.8946620620106402,0.47624211142246065,0.51779884571276,0.8577151903157809,M
17,0.328900570035418,0.3460976931512082,0.14887105595666425,0.37083643155942564,0.4001418763660904,R
18,0.8391466017962649,0.9071052397861034,0.8681375445142452,0.8399608894270332,0.5996884476541355,M
19,0.731077416525096,0.47760847380127347,0.9952204579179278,0.7433436439834317,0.5090432865325099,M
20,0.08367262228616411,0.5713800094398084,0.1371517021040786,0.09588665015289012,0.05843025591873534,R
21,0.08585062808604707,0.09176986732198131,0.5231616292931516,0.46875761206137284,0.3296106985342169,R
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
32,,,,,,
33,,,,,,
34,,,,,,
35,,,,,,
36,,,,,,
37,,,,,,
38,,,,,,
39,,,,,,
40,,,,,,
41,,,,,,
42,,,,,,
43,0.5355304910790917,0.5653371275611758,0.484390469585258,0.3811960897043933,0.025376382042227894,R
44,0.23054320089185373,0.42641933397787135,0.3285452567896259,0.20553433821514158,0.3294956058537636,R
45,0.11804684265165954,0.20868218763101665,0.13236929156629756,0.32712925444715635,0.2998867127442178,R
46,0.034092093291773776,0.23915800272305335,0.24168856820550383,0.14558665155515943,0.18994983558655953,R
47,0.46002810983461395,0.3321916114085617,0.4243519668026365,0.055380936740606485,0.32198353597853996,R
48,0.08850449713778312,0.3036120263601168,0.08909590599820724,0.1593497641523234,0.5514872377327846,R
49,0.13795103251272883,0.0034123146575301736,0.3492082708351447,0.42867797841115346,0.5389131067025373,R
50,0.2325384035729175,0.4836705636856398,0.2737317175268786,0.18277075412568627,0.2981561223170186,R
51,0.4142800425812966,0.3819781306763935,0.10025729788074392,0.09186587637780151,0.4878439424302661,R
52,0.49077888053067975,0.7465360839800541,0.8074096288727178,0.7613565825606867,0.7605833360995575,M
53,0.3370703420202367,0.5492103754960025,0.5565156059974709,0.5437913887930008,0.07732889675071389,R
54,0.7153184124736933,0.7464807291522337,0.8615753604023817,0.45979229290990187,0.5980952850137251,M
55,0.19886777139584982,0.243959899276342,0.5678414996408764,0.16433663904743645,0.15992230113699815,R
56,0.5716952946520194,0.4914373716807585,0.7499437076240517,0.987122373692763,0.42331979418799104,M

